예술의전당 리사이틀홀,LG와 함께하는 제14회 서울국제음악콩쿠르(2차예선),대관,2018-03-19,2018-03-19,34
예술의전당 IBK챔버홀,손민수 베토벤 피아노 소나타 전곡 시리즈 2,대관,2018-03-20,2018-03-20,376
예술의전당 리사이틀홀,LG와 함께하는 제14회 서울국제음악콩쿠르(2차예선),대관,2018-03-20,2018-03-20,48
예술의전당 콘서트홀,파가니니의 불꽃,대관,2018-03-20,2018-03-20,1335
예술의전당 IBK챔버홀,양고운 바이올린 리사이틀,대관,2018-03-21,2018-03-21,204
예술의전당 리사이틀홀,LG와 함께하는 제14회 서울국제음악콩쿠르(준결선),대관,2018-03-21,2018-03-21,30
예술의전당 오페라극장,국립발레단 <지젤>,대관,2018-03-21,2018-03-25,8990
예술의전당 콘서트홀,제156회 서울신포니에타 정기연주회,대관,2018-03-21,2018-03-21,523
예술의전당 IBK챔버홀,피아니스트 윤철희의 모차르트 협주곡 연주회,대관,2018-03-22,2018-03-22,298
예술의전당 리사이틀홀,LG와 함께하는 제14회 서울국제음악콩쿠르(준결선),대관,2018-03-22,2018-03-22,70
예술의전당 자유소극장,댄싱 발레리노,대관,2018-03-22,2018-03-23,406
예술의전당 콘서트홀,얍 판 츠베덴 - 경기필하모닉ㅣ경기필 비르투오소 시리즈 I,대관,2018-03-22,2018-03-22,1617
예술의전당 IBK챔버홀,서울시향 2018 아모레퍼시픽과 함께하는 아르스 노바 I: 실내악 콘서트,대관,2018-03-23,2018-03-23,371
예술의전당 콘서트홀,KBS교향악단 제728회 정기연주회,대관,2018-03-23,2018-03-23,1529
예술의전당 한가람미술관,나 성숙 옻칠전 북촌한옥마을에서,대관,2018-03-23,2018-04-01,2204
예술의전당 한가람미술관,제2회 한국교직원미술대전 - 그날의 기억,대관,2018-03-23,2018-04-01,5471
예술의전당 IBK챔버홀,파체 더 듀얼,대관,2018-03-24,2018-03-24,407
예술의전당 IBK챔버홀,라 메르 에 릴(바다와섬) 제12회 정기연주회,대관,2018-03-24,2018-03-24,383
예술의전당 리사이틀홀,한동연 첼로 독주회,대관,2018-03-24,2018-03-24,298
예술의전당 리사이틀홀,제4회 코리아 하프 페스티벌 개막공연,대관,2018-03-24,2018-03-24,173
예술의전당 콘서트홀,LG와 함께하는 제14회 서울국제음악콩쿠르(결선),대관,2018-03-24,2018-03-24,279
예술의전당 한가람미술관,2017 예술의전당 미술영재 아카데미 작품평가전,기획,2018-03-24,2018-03-31,6146
예술의전당 IBK챔버홀,서울 솔리스트 첼로 앙상블 제23회 정기연주회,대관,2018-03-25,2018-03-25,340
예술의전당 IBK챔버홀,클라리넷 콰르텟 플레이어스 제 3회 정기연주회,대관,2018-03-25,2018-03-25,299
예술의전당 리사이틀홀,김경민 바이올린 독주회ㅣ음악의 숲을 거닐다 -Prokofiev about Prokofiev,대관,2018-03-25,2018-03-25,131
예술의전당 자유소극장,2018 김명숙 늘휘무용단 봄신작 - IN PRISM,대관,2018-03-25,2018-03-25,191
예술의전당 콘서트홀,LG와 함께하는 제14회 서울국제음악콩쿠르(결선),대관,2018-03-25,2018-03-25,307
예술의전당 CJ 토월극장,신과함께_저승편,대관,2018-03-27,2018-04-15,15471
예술의전당 IBK챔버홀,유시연의 테마콘서트 XV Gratitude,대관,2018-03-27,2018-03-27,317
예술의전당 리사이틀홀,사)한국페스티발앙상블 28회 현대음악축제,대관,2018-03-27,2018-03-27,226
예술의전당 자유소극장,동화,대관,2018-03-27,2018-03-28,213
예술의전당 콘서트홀,국립합창단 제172회 정기연주회 열정의 탱고와 한국의 얼의 조우,대관,2018-03-27,2018-03-27,1171
예술의전당 IBK챔버홀,2018 문화가 있는 날 SAC 아티스트 라운지(3월),기획,2018-03-28,2018-03-28,542
예술의전당 리사이틀홀,한국피아노두오협회 제 61회 정기연주회,대관,2018-03-28,2018-03-28,201
예술의전당 콘서트홀,케빈 케너 피아노 리사이틀,대관,2018-03-28,2018-03-28,770
예술의전당 IBK챔버홀,아니마 체임버 앙상블의 실내악 음악회,대관,2018-03-29,2018-03-29,442
예술의전당 서울서예박물관,한국서예사특별전 34 <명재 윤증>,기획,2018-03-29,2018-05-13,4008
예술의전당 콘서트홀,서울모테트합창단 제109회 정기연주회,대관,2018-03-29,2018-03-29,1062
예술의전당 IBK챔버홀,피경선 피아노 독주회,대관,2018-03-30,2018-03-30,332
예술의전당 리사이틀홀,코리아나 챔버 뮤직 소사이어티 제68회 정기연주회,대관,2018-03-30,2018-03-30,220
예술의전당 자유소극장,모차르트 오페라 돈죠반니,대관,2018-03-30,2018-03-31,418
예술의전당 콘서트홀,머니투데이방송과 함께하는 스타콘서트,대관,2018-03-30,2018-03-30,1218
예술의전당 IBK챔버홀,유재경 피아노 독주회,대관,2018-03-31,2018-03-31,477
예술의전당 IBK챔버홀,창작 오페라 ‘몽월 (夢月)’ 갈라 콘서트,대관,2018-03-31,2018-03-31,463
예술의전당 리사이틀홀,윤여영 바이올린 독주회,대관,2018-03-31,2018-03-31,124
예술의전당 리사이틀홀,조지현의 Beethoven Cycle 5회,대관,2018-03-31,2018-03-31,260
예술의전당 콘서트홀,2018 교향악축제 전야제 (3.31),기획,2018-03-31,2018-03-31,1421
예술의전당 IBK챔버홀,최영미 피아노 독주회,대관,2018-04-01,2018-04-01,369
예술의전당 IBK챔버홀,제4회 코리아 하프 페스티벌 폐막 공연,대관,2018-04-01,2018-04-01,388
예술의전당 리사이틀홀,황소원 피아노 독주회,대관,2018-04-01,2018-04-01,182
예술의전당 리사이틀홀,고광설 클라리넷 리사이틀,대관,2018-04-01,2018-04-01,155
예술의전당 콘서트홀,2018 교향악축제 - KBS교향악단 (4.1),기획,2018-04-01,2018-04-01,1877
예술의전당 IBK챔버홀,Quartet S 제2회 정기연주회,대관,2018-04-03,2018-04-03,297
예술의전당 리사이틀홀,이기정 피아노 독주회,대관,2018-04-03,2018-04-03,169
예술의전당 자유소극장,당신은 지금 바비레따에 살고 있군요,대관,2018-04-03,2018-04-08,530
예술의전당 콘서트홀,2018 교향악축제 - 대구시립교향악단 (4.3),기획,2018-04-03,2018-04-03,1635
예술의전당 한가람미술관,"연파 신현철 ""달의 미학""",대관,2018-04-03,2018-04-12,6384
예술의전당 한가람미술관,백순실개인전 <삶과 교향곡>,대관,2018-04-03,2018-04-12,2384
예술의전당 한가람미술관,오르빛도요 서영기 달항아리전,대관,2018-04-03,2018-04-12,1753
예술의전당 IBK챔버홀,이탈리아 성악회 제 65회 정기연주회,대관,2018-04-04,2018-04-04,298
예술의전당 리사이틀홀,제3회 성신 피아노 소사이어티 정기연주회,대관,2018-04-04,2018-04-04,165
예술의전당 콘서트홀,2018 교향악축제 - 대전시립교향악단 (4.4),기획,2018-04-04,2018-04-04,1303
예술의전당 한가람미술관,제6회 서울현대미술페스타,대관,2018-04-04,2018-04-11,7500
예술의전당 IBK챔버홀,비올리스트 조명희 and Ensemble For Viola,대관,2018-04-05,2018-04-05,316
예술의전당 리사이틀홀,안지윤 바이올린 독주회,대관,2018-04-05,2018-04-05,316
예술의전당 오페라극장,국립오페라단 마농,대관,2018-04-05,2018-04-08,4608
예술의전당 콘서트홀,2018 교향악축제 - 대만국가교향악단 (4.5),기획,2018-04-05,2018-04-05,2024
예술의전당 한가람미술관,봄 그리고 봄  see and spring,대관,2018-04-05,2018-04-11,1936
예술의전당 IBK챔버홀,윈뮤지션스 제 2회 정기연주회,대관,2018-04-06,2018-04-06,249
예술의전당 리사이틀홀,윤혜원 피아노 독주회,대관,2018-04-06,2018-04-06,290
예술의전당 서울서예박물관,제19회세종한글서예대전,대관,2018-04-06,2018-04-12,1024
예술의전당 콘서트홀,2018 교향악축제 - 서울시립교향악단 (4.6),기획,2018-04-06,2018-04-06,2241
예술의전당 IBK챔버홀,바이올리니스트 카라 남 리사이틀,대관,2018-04-07,2018-04-07,490
예술의전당 IBK챔버홀,"제38회 한국리스트협회 정기연주회 ""리스트와친구들 I""",대관,2018-04-07,2018-04-07,423
예술의전당 리사이틀홀,박소연 피아노 독주회,대관,2018-04-07,2018-04-07,161
예술의전당 리사이틀홀,피아니스트 박미정 초청 독주회,대관,2018-04-07,2018-04-07,193
예술의전당 콘서트홀,2018 교향악축제 - 경기필하모닉 오케스트라 (4.7),기획,2018-04-07,2018-04-07,1869
